f_id,f_user_id,f_type,f_title,f_content,f_mission_id,f_creator_id,f_is_read,f_created_at
c05c7338-8f0e-4029-a803-dc164ca6822f,0d052205-d5d6-4ab4-971c-0780b2d72b9f,NEW_MISSION,새로운 미션이 등록되었습니다,[환승연애 시즌4 최종 커플은?] 미션이 시작되었습니다. 지금 바로 참여해보세요!,3307d737-c04e-4d73-91c1-7e4c4e1b8cb3,651b7438-8cf1-462a-9ef5-99e245d5bf01,true,2026-01-08 05:47:00.939792+00
0dc5f8df-6c3a-4d62-bb5a-af78a7905ff6,594078ff-89be-421e-8f57-0381f2a5f61c,NEW_MISSION,새로운 미션이 등록되었습니다,[최종 커플은 과연..] 미션이 시작되었습니다. 지금 바로 참여해보세요!,0ef27883-0c63-4cf5-b787-bd9638423023,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:24:21.292651+00
456ccff4-fc39-4d66-9db3-f9505e9a4344,8b588b86-a7e1-47e3-83fc-a09c44df2e7c,NEW_MISSION,새로운 미션이 등록되었습니다,[최종 커플은 과연..] 미션이 시작되었습니다. 지금 바로 참여해보세요!,0ef27883-0c63-4cf5-b787-bd9638423023,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:24:21.292651+00
117c4c18-4bd9-463c-b51e-f736cb8e7f59,be394897-8f75-483a-b7ab-96a9997bf4a2,NEW_MISSION,새로운 미션이 등록되었습니다,[최종 커플은 과연..] 미션이 시작되었습니다. 지금 바로 참여해보세요!,0ef27883-0c63-4cf5-b787-bd9638423023,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:24:21.292651+00
2c86f52c-4982-4e77-9aab-4395de25d40b,0d052205-d5d6-4ab4-971c-0780b2d72b9f,NEW_MISSION,새로운 미션이 등록되었습니다,[최종 커플은 과연..] 미션이 시작되었습니다. 지금 바로 참여해보세요!,0ef27883-0c63-4cf5-b787-bd9638423023,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:24:21.292651+00
94e9e691-cae7-4058-afce-7ae2fbe9b9c6,9ad46f8f-0eaf-46fc-9a5c-990f7517e8fb,NEW_MISSION,새로운 미션이 등록되었습니다,[최종 커플은 과연..] 미션이 시작되었습니다. 지금 바로 참여해보세요!,0ef27883-0c63-4cf5-b787-bd9638423023,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:24:21.292651+00
6ef816ac-61c4-4438-a4ea-947e2b465e99,651b7438-8cf1-462a-9ef5-99e245d5bf01,NEW_MISSION,새로운 미션이 등록되었습니다,[최종 커플은 과연..] 미션이 시작되었습니다. 지금 바로 참여해보세요!,0ef27883-0c63-4cf5-b787-bd9638423023,651b7438-8cf1-462a-9ef5-99e245d5bf01,true,2026-01-09 06:24:21.292651+00
64239efe-ac24-4233-8eed-352713bbdb10,594078ff-89be-421e-8f57-0381f2a5f61c,NEW_MISSION,새로운 미션이 등록되었습니다,[이번 기수 최죙 커플은 과연] 미션이 시작되었습니다. 지금 바로 참여해보세요!,77aa2e79-d898-469e-9f4d-085877dba45c,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:31:12.433626+00
92b5e76e-bc2d-4382-8140-628914f6aa8a,8b588b86-a7e1-47e3-83fc-a09c44df2e7c,NEW_MISSION,새로운 미션이 등록되었습니다,[이번 기수 최죙 커플은 과연] 미션이 시작되었습니다. 지금 바로 참여해보세요!,77aa2e79-d898-469e-9f4d-085877dba45c,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:31:12.433626+00
779f69c8-139a-49e7-b60f-b43a4d53ee6c,be394897-8f75-483a-b7ab-96a9997bf4a2,NEW_MISSION,새로운 미션이 등록되었습니다,[이번 기수 최죙 커플은 과연] 미션이 시작되었습니다. 지금 바로 참여해보세요!,77aa2e79-d898-469e-9f4d-085877dba45c,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:31:12.433626+00
78c3fb23-34d5-408a-854f-130cbc847809,651b7438-8cf1-462a-9ef5-99e245d5bf01,NEW_MISSION,새로운 미션이 등록되었습니다,[이번 기수 최죙 커플은 과연] 미션이 시작되었습니다. 지금 바로 참여해보세요!,77aa2e79-d898-469e-9f4d-085877dba45c,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:31:12.433626+00
940d2eb8-eb4e-4d57-bb72-52054731239b,0d052205-d5d6-4ab4-971c-0780b2d72b9f,NEW_MISSION,새로운 미션이 등록되었습니다,[이번 기수 최죙 커플은 과연] 미션이 시작되었습니다. 지금 바로 참여해보세요!,77aa2e79-d898-469e-9f4d-085877dba45c,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:31:12.433626+00
8dd920f5-3ede-4edd-98f6-a7ab68e46790,9ad46f8f-0eaf-46fc-9a5c-990f7517e8fb,NEW_MISSION,새로운 미션이 등록되었습니다,[이번 기수 최죙 커플은 과연] 미션이 시작되었습니다. 지금 바로 참여해보세요!,77aa2e79-d898-469e-9f4d-085877dba45c,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-09 06:31:12.433626+00
